"HealthInsuranceID";"HealthInsuranceType";"HealthInsuranceName";"PriceGroupID";"IKNumber";"VKNumber";"ShortNumber";"ValidFrom";"ValidTo";"Deductible";"Street";"City";"POBox";"Phone";"Fax";"Email";"Www";"Remark";"InsurancePayerID";"SelfCreated";"Version";"Deleted";"ZIPID"
332293;"GK";"AOK Rheinland Pfalz / Saarland";332292;109319309;"";"";"1997-04-03";"3000-12-31";"true";"Halbergstr. 1";"Saarbrücken";"";"";"";"";"";"";"";"false";1;0;317996
332296;"GK";"BKK advita West";332295;106428247;"";"";"1995-04-01";"3000-12-31";"true";"Johann-Klein-Str. 6";"Frankenthal";"";"";"";"";"";"";"";"false";1;0;0
332297;"GK";"BKK advita Ost";332295;106428292;"";"";"1993-01-01";"3000-12-31";"true";"Johann-Klein-Str. 6";"Frankenthal";"";"";"";"";"";"";"";"false";1;0;0
332300;"SK";"Aerpah-Klinik Esslingen-Kennenburg";332299;990013334;"";"";"2003-09-15";"3000-12-31";"false";"Kennenburger Straße 63";"Esslingen";"";"";"";"";"";"";"";"false";1;0;0
332303;"SK";"Agentur für Arbeit";332302;990020300;"";"";"2005-07-11";"3000-12-31";"false";"Körnerstraße 98-100";"Hagen";"";"";"";"";"";"";"";"false";1;0;317542
332304;"SK";"Albklinik Münsingen";332299;990013425;"";"";"2003-09-23";"3000-12-31";"false";"Lautertal Str. 47";"Münsingen";"";"";"";"";"";"";"";"false";1;0;318807
332305;"SK";"Altmarkkreis Salzwedel,";332302;100085812;"";"";"2003-01-01";"2099-12-31";"true";"Karl-Marx-Str. 32";"Salzwedel";"";"";"";"";"";"";"";"false";0;0;313345
332306;"SK";"Amt der Gemeinde Selent";332302;100001840;"";"";"2003-01-01";"2099-12-31";"true";"";"Selent";"";"";"";"";"";"";"";"false";0;0;312137
332309;"SK";"Zentrum Bayern Familie und Soziales Region Oberbayern I";332308;150910023;"";"";"2003-08-18";"3000-12-31";"false";"";"München";"";"";"";"";"";"";"";"false";1;0;0
332310;"SK";"Zentrum Bayern Familie und Soziales Region Niederbayern";332308;150920014;"";"";"2003-08-13";"3000-12-31";"false";"FRIEDHOFSTR. 7";"LANDSHUT";"";"";"";"";"";"";"";"false";1;0;0
332311;"SK";"Landesamt für Soziales und Versorgung Außenstelle Frankfurt Oder";332308;151200015;"";"";"2003-07-30";"3000-12-31";"false";"Robert-Havemann-Str. 4";"Frankfurt Oder";"";"";"";"";"";"";"";"false";1;0;0
332312;"SK";"AMT FUER VERSORGUNG";332308;151500030;"";"";"2003-07-11";"2099-12-31";"true";"MAXIM-GORKI-STR. 4-7";"";"";"";"";"";"";"";"";"false";0;0;0
